zone_id,week,zone_type,temporal_profile,population_density,road_capacity,effective_road_capacity,vehicle_density,traffic_pressure,congestion,average_speed,red_light_violations,weather,road_condition,special_event,incident_count,incident_occurred,previous_week_vehicle_density,previous_week_congestion,previous_week_average_speed,previous_week_red_light_violations,previous_week_incident_count,previous_week_incident_occurred,previous_week_traffic_pressure,rolling_4_week_avg_vehicle_density,rolling_4_week_avg_congestion,rolling_4_week_avg_speed,rolling_4_week_avg_violations,rolling_4_week_incident_count,rolling_4_week_incident_rate,rolling_4_week_avg_traffic_pressure,vehicle_density_change,congestion_change,speed_change,violations_change,traffic_pressure_change,incident_count_change,vehicle_density_pct_change,congestion_pct_change,speed_pct_change,vehicle_population_ratio,congestion_trend_4w,vehicle_density_trend_4w,speed_trend_4w,incident_trend_4w
Zone_01,1,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,48.02,0.8,40.95,53.89,3,Normal,Good,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,5.503,,,,
Zone_01,2,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,53.81,0.897,52.25,50.29,9,Normal,Good,0,0,0,48.02,40.95,53.89,3.0,0.0,0.0,0.8,,,,,,,,5.79,11.3,-3.6,6.0,0.097,,12.06,27.59,-6.68,6.167,,,,
Zone_01,3,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,49.05,0.818,48.5,51.77,7,Normal,Good,0,0,0,53.81,52.25,50.29,9.0,0.0,0.0,0.897,,,,,,,,-4.76,-3.75,1.48,-2.0,-0.079,0.0,-8.85,-7.18,2.94,5.621,,,,
Zone_01,4,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,49.94,0.832,47.02,51.95,9,Normal,Good,0,0,0,49.05,48.5,51.77,7.0,0.0,0.0,0.818,,,,,,,,0.89,-1.48,0.18,2.0,0.014,0.0,1.81,-3.05,0.35,5.723,,,,
Zone_01,5,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.68,48.32,0.973,68.33,30.38,11,Light Rain,Moderate,0,0,0,49.94,47.02,51.95,9.0,0.0,0.0,0.832,50.2,47.18,51.98,7.0,0.0,0.0,0.837,-1.62,21.31,-21.57,2.0,0.141,0.0,-3.24,45.32,-41.52,5.537,1.446,0.1,-0.434,0.0
Zone_01,6,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.68,51.23,1.031,76.45,28.96,9,Light Rain,Moderate,0,1,1,48.32,68.33,30.38,11.0,0.0,0.0,0.973,50.28,54.02,46.1,9.0,0.0,0.0,0.88,2.91,8.12,-1.42,-2.0,0.058,0.0,6.02,11.88,-4.67,5.871,4.676,-1.558,-5.955,0.0
Zone_01,7,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,48.49,0.808,47.3,48.02,7,Normal,Good,0,1,1,51.23,76.45,28.96,9.0,1.0,1.0,1.031,49.64,60.08,40.76,9.0,1.0,0.25,0.914,-2.74,-29.15,19.06,-2.0,-0.223,1.0,-5.35,-38.13,65.81,5.557,10.516,0.492,-9.0,0.3
Zone_01,8,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,46.87,0.781,46.14,49.77,8,Normal,Good,0,1,1,48.49,47.3,48.02,7.0,1.0,1.0,0.808,49.5,59.78,39.83,9.0,2.0,0.5,0.911,-1.62,-1.16,1.75,1.0,-0.027,0.0,-3.34,-2.45,3.64,5.371,0.896,-0.144,-1.321,0.4
Zone_01,9,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,42.53,0.709,36.88,55.68,11,Normal,Good,0,1,1,46.87,46.14,49.77,8.0,1.0,1.0,0.781,48.73,59.56,39.28,8.75,3.0,0.75,0.898,-4.34,-9.26,5.91,3.0,-0.072,0.0,-9.26,-20.07,11.87,4.874,-9.572,-0.709,7.723,0.3
Zone_01,10,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,47.93,0.799,46.06,54.77,6,Normal,Good,0,0,0,42.53,36.88,55.68,11.0,1.0,1.0,0.709,47.28,51.69,45.61,8.75,4.0,1.0,0.832,5.4,9.18,-0.91,-5.0,0.09,0.0,12.7,24.89,-1.63,5.493,-11.987,-2.772,8.191,0.0
Zone_01,11,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.68,45.91,0.924,66.69,34.94,10,Light Rain,Moderate,0,1,1,47.93,46.06,54.77,6.0,0.0,0.0,0.799,46.46,44.1,52.06,8.0,3.0,0.75,0.774,-2.02,20.63,-19.83,4.0,0.125,-1.0,-4.21,44.79,-36.21,5.261,-1.298,-0.602,2.616,-0.3
Zone_01,12,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,46.54,0.776,44.51,54.52,8,Normal,Good,0,1,1,45.91,66.69,34.94,10.0,1.0,1.0,0.924,45.81,48.94,48.79,8.75,3.0,0.75,0.803,0.63,-22.18,19.58,-2.0,-0.148,1.0,1.37,-33.26,56.04,5.333,7.083,0.252,-4.54,-0.1
Zone_01,13,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,49.18,0.82,48.25,50.86,8,Normal,Good,0,1,1,46.54,44.51,54.52,8.0,1.0,1.0,0.776,45.73,48.54,49.98,8.75,3.0,0.75,0.802,2.64,3.74,-3.66,0.0,0.044,0.0,5.67,8.4,-6.71,5.636,4.352,1.001,-2.331,0.1
Zone_01,14,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,49.51,0.825,47.03,53.9,12,Normal,Good,0,1,1,49.18,48.25,50.86,8.0,1.0,1.0,0.82,47.39,51.38,48.77,8.0,3.0,0.75,0.83,0.33,-1.22,3.04,4.0,0.005,0.0,0.67,-2.53,5.98,5.674,-1.561,0.438,0.785,0.3
Zone_01,15,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,54.37,0.906,49.26,51.08,4,Normal,Good,0,0,0,49.51,47.03,53.9,12.0,1.0,1.0,0.825,47.78,51.62,48.56,9.5,4.0,1.0,0.836,4.86,2.23,-2.82,-8.0,0.081,0.0,9.82,4.74,-5.23,6.231,-5.524,1.344,5.322,0.0
Zone_01,16,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,61.22,1.02,63.61,44.89,12,Normal,Good,0,0,0,54.37,49.26,51.08,4.0,0.0,0.0,0.906,49.9,47.26,52.59,8.0,3.0,0.75,0.832,6.85,14.35,-6.19,8.0,0.114,-1.0,12.6,29.13,-12.12,7.016,1.303,2.382,-0.728,-0.3
Zone_01,17,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,65.4,1.09,68.96,41.27,11,Normal,Good,0,0,0,61.22,63.61,44.89,12.0,0.0,0.0,1.02,53.57,52.04,50.18,9.0,2.0,0.5,0.893,4.18,5.35,-3.62,-1.0,0.07,0.0,6.83,8.41,-8.06,7.495,4.831,4.098,-2.073,-0.4
Zone_01,18,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,51.0,73.73,1.446,82.11,36.1,15,Normal,Good,1,1,1,65.4,68.96,41.27,11.0,0.0,0.0,1.09,57.62,57.22,47.78,9.75,1.0,0.25,0.96,8.33,13.15,-5.17,4.0,0.356,0.0,12.74,19.07,-12.53,8.449,8.014,5.452,-4.408,-0.3
Zone_01,19,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,51.0,80.27,1.574,97.31,27.16,18,Normal,Good,1,1,1,73.73,82.11,36.1,15.0,1.0,1.0,1.446,63.68,65.98,43.34,10.5,1.0,0.25,1.116,6.54,15.2,-8.94,3.0,0.128,1.0,8.87,18.51,-24.76,9.199,10.39,6.226,-4.856,0.3
Zone_01,20,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,72.67,1.211,82.2,35.62,11,Normal,Good,0,1,1,80.27,97.31,27.16,18.0,1.0,1.0,1.574,70.16,78.0,37.36,14.0,2.0,0.5,1.283,-7.6,-15.11,8.46,-7.0,-0.363,0.0,-9.47,-15.53,31.15,8.328,11.425,6.548,-5.836,0.4
Zone_01,21,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.2,74.15,1.507,84.99,32.85,9,Normal,Good,0,5,1,72.67,82.2,35.62,11.0,1.0,1.0,1.211,73.02,82.64,35.04,13.75,3.0,0.75,1.33,1.48,2.79,-2.77,-2.0,0.296,0.0,2.04,3.39,-7.78,8.498,5.492,2.835,-2.589,0.3
Zone_01,22,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.2,67.76,1.377,87.54,34.01,8,Normal,Good,0,2,1,74.15,84.99,32.85,9.0,5.0,1.0,1.507,75.2,86.65,32.93,13.25,8.0,1.0,1.434,-6.39,2.55,1.16,-1.0,-0.13,4.0,-8.62,3.0,3.53,7.765,-0.647,-0.634,-0.129,0.0
Zone_01,23,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.2,68.25,1.387,85.03,33.24,16,Normal,Good,0,2,1,67.76,87.54,34.01,8.0,2.0,1.0,1.377,73.71,88.01,32.41,11.5,9.0,1.0,1.417,0.49,-2.51,-0.77,8.0,0.01,-3.0,0.72,-2.87,-2.26,7.821,-2.652,-3.605,1.778,0.0
Zone_01,24,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.2,75.26,1.53,93.08,30.19,9,Normal,Good,0,0,0,68.25,85.03,33.24,16.0,2.0,1.0,1.387,70.71,84.94,33.93,11.0,10.0,1.0,1.37,7.01,8.05,-3.05,-7.0,0.143,0.0,10.27,9.47,-9.18,8.625,1.104,-1.965,-0.598,0.0
Zone_01,25,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.2,75.86,1.542,89.57,30.36,10,Normal,Good,0,2,1,75.26,93.08,30.19,9.0,0.0,0.0,1.53,71.36,87.66,32.57,10.5,9.0,0.75,1.45,0.6,-3.51,0.17,1.0,0.012,-2.0,0.8,-3.77,0.56,8.694,2.176,0.382,-0.875,-0.3
Zone_01,26,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.2,71.41,1.451,88.45,34.5,9,Normal,Good,0,1,1,75.86,89.57,30.36,10.0,2.0,1.0,1.542,71.78,88.8,31.95,10.75,6.0,0.75,1.459,-4.45,-1.12,4.14,-1.0,-0.091,2.0,-5.87,-1.25,13.64,8.184,1.414,3.131,-1.4,-0.1
Zone_01,27,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.2,72.33,1.47,88.93,37.45,16,Normal,Good,0,4,1,71.41,88.45,34.5,9.0,1.0,1.0,1.451,72.69,89.03,32.07,11.0,5.0,0.75,1.478,0.92,0.48,2.95,7.0,0.019,-1.0,1.29,0.54,8.55,8.289,0.675,1.008,0.395,0.1
Zone_01,28,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.2,70.67,1.436,87.54,34.57,7,Normal,Good,0,1,1,72.33,88.93,37.45,16.0,4.0,1.0,1.47,73.72,90.01,33.12,11.0,7.0,0.75,1.498,-1.66,-1.39,-2.88,-9.0,-0.034,3.0,-2.3,-1.56,-7.69,8.099,-1.357,-1.324,2.592,0.3
Zone_01,29,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,65.36,1.089,71.61,41.18,7,Normal,Good,0,0,0,70.67,87.54,34.57,7.0,1.0,1.0,1.436,72.57,88.62,34.22,10.5,8.0,1.0,1.475,-5.31,-15.93,6.61,0.0,-0.347,-3.0,-7.51,-18.2,19.12,7.49,-0.561,-1.465,1.558,0.0
Zone_01,30,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,65.76,1.096,71.69,42.24,6,Normal,Good,0,0,0,65.36,71.61,41.18,7.0,0.0,0.0,1.089,69.94,84.13,36.92,9.75,6.0,0.75,1.362,0.4,0.08,1.06,-1.0,0.007,-1.0,0.61,0.11,2.57,7.536,-5.191,-1.981,1.716,-0.3
Zone_01,31,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,35.1,60.56,1.725,100.0,10.0,12,Heavy Rain,Poor,0,3,1,65.76,71.69,42.24,6.0,0.0,0.0,1.096,68.53,79.94,38.86,9.0,5.0,0.5,1.273,-5.2,28.31,-32.24,6.0,0.629,0.0,-7.91,39.49,-76.33,6.94,-6.765,-2.502,2.098,-0.4
Zone_01,32,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.68,58.52,1.178,89.52,22.26,10,Light Rain,Moderate,0,2,1,60.56,100.0,10.0,12.0,3.0,1.0,1.725,65.59,82.71,32.0,8.0,4.0,0.5,1.336,-2.04,-10.48,12.26,-2.0,-0.547,3.0,-3.37,-10.48,122.6,6.706,3.746,-2.993,-7.265,0.0
Zone_01,33,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,49.68,55.12,1.11,78.54,30.47,14,Light Rain,Moderate,0,2,1,58.52,89.52,22.26,10.0,2.0,1.0,1.178,62.55,83.2,28.92,8.75,5.0,0.5,1.272,-3.4,-10.98,8.21,4.0,-0.068,-1.0,-5.81,-12.27,36.88,6.317,8.204,-2.572,-8.9,0.4
