zone_id,week,zone_type,population_density,road_capacity,effective_road_capacity,vehicle_density,traffic_pressure,congestion,average_speed,red_light_violations,weather,road_condition,special_event,incident_count,incident_occurred
Zone_01,1,Commercial_Downtown,8726,60,60.0,47.95,0.799,40.85,53.92,3,Normal,Good,0,0,0
Zone_02,1,Residential,12426,92,92.0,33.64,0.366,18.92,62.13,4,Normal,Good,0,0,0
Zone_03,1,University_District,7685,63,63.0,34.71,0.551,23.21,61.24,4,Normal,Good,0,0,0
Zone_04,1,Highway_Junction,2415,72,72.0,12.34,0.171,8.18,64.8,3,Normal,Good,0,0,0
Zone_05,1,Commercial_Downtown,8343,66,66.0,27.8,0.421,18.21,63.16,3,Normal,Good,0,0,0
Zone_06,1,University_District,8747,86,86.0,32.18,0.374,13.59,63.24,2,Normal,Good,0,0,0
Zone_07,1,University_District,7267,42,34.78,28.94,0.832,53.98,37.66,7,Light Rain,Moderate,0,2,1
Zone_08,1,Highway_Junction,2040,43,43.0,10.99,0.256,11.32,62.32,2,Normal,Good,0,0,0
Zone_09,1,Suburban_LowDensity,3241,92,92.0,4.81,0.052,5.01,67.2,1,Normal,Good,0,0,0
Zone_10,1,Residential,15099,47,47.0,42.29,0.9,54.61,48.0,4,Normal,Good,0,0,0
Zone_11,1,Residential,9955,43,43.0,35.52,0.826,46.81,51.52,3,Normal,Good,0,1,1
Zone_12,1,Commercial_Downtown,8725,68,68.0,49.68,0.731,41.49,52.55,5,Normal,Good,0,0,0
Zone_13,1,Suburban_LowDensity,1361,75,75.0,8.92,0.119,8.72,64.61,5,Normal,Good,0,0,0
Zone_14,1,University_District,10551,99,99.0,50.06,0.506,26.51,59.57,2,Normal,Good,0,0,0
Zone_15,1,Residential,14863,86,71.21,41.66,0.585,35.15,45.66,5,Light Rain,Moderate,0,0,0
Zone_16,1,Highway_Junction,1963,84,69.55,7.51,0.108,8.12,51.73,4,Light Rain,Moderate,0,0,0
Zone_17,1,Residential,8064,48,48.0,14.01,0.292,13.95,64.4,1,Normal,Good,0,0,0
Zone_18,1,Industrial_Corridor,3295,90,90.0,3.17,0.035,3.79,65.25,2,Normal,Good,0,0,0
Zone_19,1,Industrial_Corridor,4136,81,67.07,20.98,0.313,20.89,51.79,3,Light Rain,Moderate,0,0,0
Zone_20,1,Commercial_Downtown,3700,73,73.0,19.59,0.268,13.4,62.58,4,Normal,Good,0,0,0
Zone_21,1,Residential,11645,74,74.0,39.18,0.529,25.76,58.34,5,Normal,Good,0,0,0
Zone_22,1,University_District,7570,76,76.0,28.63,0.377,11.98,61.8,6,Normal,Good,0,0,0
Zone_23,1,Suburban_LowDensity,2228,53,53.0,2.82,0.053,4.13,66.93,2,Normal,Good,0,0,0
