zone_id,week,zone_type,temporal_profile,population_density,road_capacity,effective_road_capacity,vehicle_density,traffic_pressure,congestion,average_speed,red_light_violations,weather,road_condition,special_event,incident_count,incident_occurred
Zone_01,1,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,48.02,0.8,40.95,53.89,3,Normal,Good,0,0,0
Zone_02,1,Residential,STABLE,12426,92,92.0,34.12,0.371,19.16,62.06,4,Normal,Good,0,0,0
Zone_03,1,University_District,EVENT_SENSITIVE,7685,63,63.0,34.25,0.544,22.73,61.39,4,Normal,Good,0,0,0
Zone_04,1,Highway_Junction,GRADUAL_DETERIORATION,2415,72,72.0,12.46,0.173,8.23,64.79,3,Normal,Good,0,0,0
Zone_05,1,Commercial_Downtown,GRADUAL_IMPROVEMENT,8343,66,66.0,28.38,0.43,18.67,63.03,3,Normal,Good,0,0,0
Zone_06,1,University_District,STABLE,8747,86,86.0,32.69,0.38,13.87,63.17,2,Normal,Good,0,0,0
Zone_07,1,University_District,GRADUAL_DETERIORATION,7267,42,34.78,29.64,0.852,55.89,36.87,7,Light Rain,Moderate,0,2,1
Zone_08,1,Highway_Junction,PERIODIC_SPIKE,2040,43,43.0,10.12,0.235,10.63,62.48,2,Normal,Good,0,0,0
Zone_09,1,Suburban_LowDensity,PERIODIC_SPIKE,3241,92,92.0,4.59,0.05,4.96,67.21,1,Normal,Good,0,0,0
Zone_10,1,Residential,GRADUAL_DETERIORATION,15099,47,47.0,42.9,0.913,55.71,47.54,5,Normal,Good,0,0,0
Zone_11,1,Residential,RECOVERY_AFTER_DISRUPTION,9955,43,43.0,23.33,0.543,26.59,58.03,1,Normal,Good,0,0,0
Zone_12,1,Commercial_Downtown,GRADUAL_IMPROVEMENT,8725,68,68.0,48.76,0.717,40.39,52.96,5,Normal,Good,0,0,0
Zone_13,1,Suburban_LowDensity,EVENT_SENSITIVE,1361,75,75.0,8.14,0.109,8.47,64.67,5,Normal,Good,0,0,0
Zone_14,1,University_District,RECOVERY_AFTER_DISRUPTION,10551,99,99.0,49.84,0.503,26.38,59.61,2,Normal,Good,0,0,0
Zone_15,1,Residential,GRADUAL_DETERIORATION,14863,86,71.21,42.85,0.602,36.47,45.18,5,Light Rain,Moderate,0,0,0
Zone_16,1,Highway_Junction,GRADUAL_DETERIORATION,1963,84,69.55,7.71,0.111,8.2,51.71,4,Light Rain,Moderate,0,0,0
Zone_17,1,Residential,EVENT_SENSITIVE,8064,48,48.0,14.97,0.312,14.74,64.19,1,Normal,Good,0,0,0
Zone_18,1,Industrial_Corridor,STABLE,3295,90,90.0,3.94,0.044,3.95,65.22,2,Normal,Good,0,0,0
Zone_19,1,Industrial_Corridor,EVENT_SENSITIVE,4136,81,67.07,20.61,0.307,20.64,51.87,3,Light Rain,Moderate,0,0,0
Zone_20,1,Commercial_Downtown,STABLE,3700,73,73.0,19.15,0.262,13.18,62.64,4,Normal,Good,0,0,0
Zone_21,1,Residential,GRADUAL_DETERIORATION,11645,74,74.0,39.07,0.528,25.66,58.37,5,Normal,Good,0,0,0
Zone_22,1,University_District,GRADUAL_DETERIORATION,7570,76,76.0,29.42,0.387,12.48,61.68,6,Normal,Good,0,0,0
Zone_23,1,Suburban_LowDensity,EVENT_SENSITIVE,2228,53,53.0,2.98,0.056,4.19,66.92,2,Normal,Good,0,0,0
Zone_24,1,Commercial_Downtown,GRADUAL_IMPROVEMENT,8634,99,99.0,39.51,0.399,18.47,60.26,4,Normal,Good,0,0,0
Zone_25,1,Residential,STABLE,10790,71,71.0,31.86,0.449,18.85,60.45,2,Normal,Good,0,0,0
Zone_26,1,University_District,STABLE,7678,75,75.0,29.69,0.396,15.67,61.0,2,Normal,Good,0,0,0
Zone_27,1,Suburban_LowDensity,PERIODIC_SPIKE,4357,81,81.0,16.17,0.2,5.55,64.49,0,Normal,Good,0,0,0
Zone_28,1,Highway_Junction,PERIODIC_SPIKE,1845,83,83.0,5.84,0.07,6.56,66.51,3,Normal,Good,0,1,1
Zone_29,1,Residential,RECOVERY_AFTER_DISRUPTION,13450,94,77.83,41.23,0.53,26.99,53.46,5,Light Rain,Moderate,0,0,0
Zone_30,1,Highway_Junction,GRADUAL_DETERIORATION,2448,66,66.0,5.21,0.079,5.1,64.92,1,Normal,Good,0,1,1
Zone_31,1,Commercial_Downtown,EVENT_SENSITIVE,9364,45,45.0,44.9,0.998,64.54,42.95,15,Normal,Good,0,3,1
Zone_32,1,Commercial_Downtown,GRADUAL_IMPROVEMENT,7248,81,81.0,38.45,0.475,20.62,58.42,7,Normal,Good,0,0,0
Zone_33,1,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,6945,63,63.0,32.47,0.515,26.96,58.66,4,Normal,Good,0,0,0
Zone_34,1,Industrial_Corridor,GRADUAL_DETERIORATION,3320,51,51.0,14.37,0.282,11.94,62.17,1,Normal,Good,0,0,0
Zone_35,1,Residential,GRADUAL_IMPROVEMENT,15280,95,95.0,39.31,0.414,18.6,61.4,4,Normal,Good,0,0,0
Zone_36,1,Residential,PERIODIC_SPIKE,12737,62,51.34,41.98,0.818,54.1,39.77,5,Light Rain,Moderate,0,1,1
Zone_37,1,Residential,RECOVERY_AFTER_DISRUPTION,11474,92,92.0,34.7,0.377,11.42,65.39,3,Normal,Good,0,0,0
Zone_38,1,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,9035,94,94.0,42.43,0.451,17.66,61.75,4,Normal,Good,0,0,0
Zone_39,1,Industrial_Corridor,GRADUAL_DETERIORATION,2566,44,44.0,12.98,0.295,13.06,62.88,1,Normal,Good,0,0,0
Zone_40,1,University_District,PERIODIC_SPIKE,7930,55,55.0,39.91,0.726,41.0,54.11,6,Normal,Good,0,0,0
Zone_41,1,Highway_Junction,GRADUAL_DETERIORATION,2549,42,42.0,9.52,0.227,11.07,64.43,4,Normal,Good,0,0,0
Zone_42,1,University_District,PERIODIC_SPIKE,7369,58,58.0,28.83,0.497,23.8,59.4,4,Normal,Good,0,0,0
Zone_43,1,Commercial_Downtown,STABLE,3988,78,78.0,20.3,0.26,11.39,64.02,5,Normal,Good,0,0,0
Zone_44,1,Suburban_LowDensity,STABLE,3720,70,70.0,12.81,0.183,11.44,66.15,4,Normal,Good,0,0,0
Zone_45,1,Highway_Junction,GRADUAL_DETERIORATION,2987,87,87.0,8.97,0.103,7.45,64.29,4,Normal,Good,0,0,0
Zone_46,1,University_District,GRADUAL_IMPROVEMENT,8049,51,51.0,40.71,0.798,49.57,52.01,5,Normal,Good,0,0,0
Zone_47,1,University_District,RECOVERY_AFTER_DISRUPTION,8056,58,58.0,41.55,0.716,36.5,60.97,3,Normal,Good,0,0,0
Zone_48,1,Industrial_Corridor,RECOVERY_AFTER_DISRUPTION,3999,72,72.0,17.62,0.245,15.24,59.88,2,Normal,Good,0,0,0
Zone_49,1,University_District,STABLE,11539,59,59.0,56.59,0.959,58.07,47.91,3,Normal,Good,0,0,0
Zone_50,1,University_District,GRADUAL_DETERIORATION,11592,68,68.0,52.67,0.775,43.16,52.19,4,Normal,Good,0,0,0
Zone_01,2,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,53.81,0.897,52.25,50.29,9,Normal,Good,0,0,0
Zone_02,2,Residential,STABLE,12426,92,92.0,30.69,0.334,15.42,60.66,1,Normal,Good,0,0,0
Zone_03,2,University_District,EVENT_SENSITIVE,7685,63,63.0,41.54,0.659,30.27,57.63,2,Normal,Good,0,0,0
Zone_04,2,Highway_Junction,GRADUAL_DETERIORATION,2415,72,72.0,9.49,0.132,10.83,67.17,6,Normal,Good,0,0,0
Zone_05,2,Commercial_Downtown,GRADUAL_IMPROVEMENT,8343,66,66.0,30.09,0.456,21.35,59.25,10,Normal,Good,0,0,0
Zone_06,2,University_District,STABLE,8747,86,86.0,27.29,0.317,16.58,63.37,8,Normal,Good,0,0,0
Zone_07,2,University_District,GRADUAL_DETERIORATION,7267,42,42.0,31.49,0.75,39.77,55.3,6,Normal,Good,0,0,0
Zone_08,2,Highway_Junction,PERIODIC_SPIKE,2040,43,43.0,13.17,0.306,11.93,64.56,4,Normal,Good,0,0,0
Zone_09,2,Suburban_LowDensity,PERIODIC_SPIKE,3241,92,92.0,4.48,0.049,2.8,67.76,1,Normal,Good,0,0,0
Zone_10,2,Residential,GRADUAL_DETERIORATION,15099,47,47.0,39.39,0.838,48.43,51.26,6,Normal,Good,0,0,0
Zone_11,2,Residential,RECOVERY_AFTER_DISRUPTION,9955,43,43.0,21.39,0.497,20.9,58.78,5,Normal,Good,0,0,0
Zone_12,2,Commercial_Downtown,GRADUAL_IMPROVEMENT,8725,68,68.0,48.26,0.71,37.74,56.29,8,Normal,Good,0,2,1
Zone_13,2,Suburban_LowDensity,EVENT_SENSITIVE,1361,75,75.0,6.93,0.092,4.45,60.62,1,Normal,Good,0,0,0
Zone_14,2,University_District,RECOVERY_AFTER_DISRUPTION,10551,99,99.0,46.03,0.465,21.07,59.8,5,Normal,Good,0,0,0
Zone_15,2,Residential,GRADUAL_DETERIORATION,14863,86,86.0,50.3,0.585,30.6,58.83,4,Normal,Good,0,0,0
Zone_16,2,Highway_Junction,GRADUAL_DETERIORATION,1963,84,69.55,2.23,0.032,13.05,53.25,3,Light Rain,Moderate,0,0,0
Zone_17,2,Residential,EVENT_SENSITIVE,8064,48,48.0,16.85,0.351,13.83,66.31,3,Normal,Good,0,0,0
Zone_18,2,Industrial_Corridor,STABLE,3295,90,90.0,0.0,0.0,2.05,67.2,2,Normal,Good,0,0,0
Zone_19,2,Industrial_Corridor,EVENT_SENSITIVE,4136,81,81.0,18.17,0.224,13.14,63.01,0,Normal,Good,0,0,0
Zone_20,2,Commercial_Downtown,STABLE,3700,73,73.0,28.3,0.388,15.57,60.69,3,Normal,Good,0,1,1
Zone_21,2,Residential,GRADUAL_DETERIORATION,11645,74,74.0,39.55,0.534,27.35,55.53,2,Normal,Good,0,0,0
Zone_22,2,University_District,GRADUAL_DETERIORATION,7570,76,76.0,32.83,0.432,15.61,63.4,2,Normal,Good,0,0,0
Zone_23,2,Suburban_LowDensity,EVENT_SENSITIVE,2228,53,53.0,5.37,0.101,6.01,63.4,4,Normal,Good,0,0,0
Zone_24,2,Commercial_Downtown,GRADUAL_IMPROVEMENT,8634,99,99.0,32.84,0.332,15.1,58.74,5,Normal,Good,0,0,0
Zone_25,2,Residential,STABLE,10790,71,71.0,23.08,0.325,12.18,62.46,0,Normal,Good,0,0,0
Zone_26,2,University_District,STABLE,7678,75,62.1,33.57,0.541,28.49,48.39,1,Light Rain,Moderate,0,0,0
Zone_27,2,Suburban_LowDensity,PERIODIC_SPIKE,4357,81,67.07,16.01,0.239,12.55,54.77,5,Light Rain,Moderate,0,0,0
Zone_28,2,Highway_Junction,PERIODIC_SPIKE,1845,83,83.0,2.81,0.034,4.68,63.55,2,Normal,Good,0,0,0
Zone_29,2,Residential,RECOVERY_AFTER_DISRUPTION,13450,94,94.0,45.08,0.48,21.87,60.53,0,Normal,Good,0,0,0
Zone_30,2,Highway_Junction,GRADUAL_DETERIORATION,2448,66,66.0,3.45,0.052,4.69,63.94,2,Normal,Good,0,1,1
Zone_31,2,Commercial_Downtown,EVENT_SENSITIVE,9364,45,45.0,50.37,1.119,70.83,39.01,10,Normal,Good,0,0,0
Zone_32,2,Commercial_Downtown,GRADUAL_IMPROVEMENT,7248,81,81.0,35.82,0.442,24.77,61.21,5,Normal,Good,0,1,1
Zone_33,2,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,6945,63,63.0,32.76,0.52,27.48,57.38,6,Normal,Good,0,0,0
Zone_34,2,Industrial_Corridor,GRADUAL_DETERIORATION,3320,51,51.0,12.04,0.236,14.91,60.08,3,Normal,Good,0,0,0
Zone_35,2,Residential,GRADUAL_IMPROVEMENT,15280,95,95.0,50.98,0.537,21.49,59.48,1,Normal,Good,0,0,0
Zone_36,2,Residential,PERIODIC_SPIKE,12737,62,62.0,42.82,0.691,36.13,58.33,3,Normal,Good,0,0,0
Zone_37,2,Residential,RECOVERY_AFTER_DISRUPTION,11474,92,92.0,29.38,0.319,19.05,64.48,8,Normal,Good,0,0,0
Zone_38,2,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,9035,94,77.83,43.27,0.556,30.25,46.79,6,Light Rain,Moderate,0,0,0
Zone_39,2,Industrial_Corridor,GRADUAL_DETERIORATION,2566,44,44.0,13.99,0.318,11.63,63.55,0,Normal,Good,0,0,0
Zone_40,2,University_District,PERIODIC_SPIKE,7930,55,55.0,44.67,0.812,50.6,50.52,10,Normal,Good,0,1,1
Zone_41,2,Highway_Junction,GRADUAL_DETERIORATION,2549,42,42.0,16.9,0.402,20.61,64.76,5,Normal,Good,0,0,0
Zone_42,2,University_District,PERIODIC_SPIKE,7369,58,48.02,24.4,0.508,29.68,48.75,2,Light Rain,Moderate,0,0,0
Zone_43,2,Commercial_Downtown,STABLE,3988,78,78.0,18.02,0.231,11.75,62.72,8,Normal,Good,0,0,0
Zone_44,2,Suburban_LowDensity,STABLE,3720,70,70.0,15.69,0.224,11.74,61.29,3,Normal,Good,0,0,0
Zone_45,2,Highway_Junction,GRADUAL_DETERIORATION,2987,87,87.0,16.8,0.193,12.87,63.03,2,Normal,Good,0,0,0
Zone_46,2,University_District,GRADUAL_IMPROVEMENT,8049,51,51.0,46.1,0.904,59.08,45.09,4,Normal,Good,0,0,0
Zone_47,2,University_District,RECOVERY_AFTER_DISRUPTION,8056,58,58.0,32.76,0.565,26.11,59.58,4,Normal,Good,0,0,0
Zone_48,2,Industrial_Corridor,RECOVERY_AFTER_DISRUPTION,3999,72,72.0,11.43,0.159,4.92,61.4,3,Normal,Good,0,0,0
Zone_49,2,University_District,STABLE,11539,59,59.0,54.9,0.931,56.91,45.02,2,Normal,Good,0,0,0
Zone_50,2,University_District,GRADUAL_DETERIORATION,11592,68,68.0,51.78,0.761,36.39,52.51,3,Normal,Good,0,1,1
Zone_01,3,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,49.05,0.818,48.5,51.77,7,Normal,Good,0,0,0
Zone_02,3,Residential,STABLE,12426,92,92.0,34.73,0.377,17.98,61.61,6,Normal,Good,0,0,0
Zone_03,3,University_District,EVENT_SENSITIVE,7685,63,63.0,40.38,0.641,31.95,56.38,5,Normal,Good,0,0,0
Zone_04,3,Highway_Junction,GRADUAL_DETERIORATION,2415,72,72.0,8.7,0.121,10.1,65.04,5,Normal,Good,0,0,0
Zone_05,3,Commercial_Downtown,GRADUAL_IMPROVEMENT,8343,66,66.0,31.31,0.474,21.72,58.02,9,Normal,Good,0,0,0
Zone_06,3,University_District,STABLE,8747,86,86.0,20.95,0.244,9.95,66.24,3,Normal,Good,0,0,0
Zone_07,3,University_District,GRADUAL_DETERIORATION,7267,42,34.78,32.43,0.932,64.75,33.68,8,Light Rain,Moderate,0,2,1
Zone_08,3,Highway_Junction,PERIODIC_SPIKE,2040,43,43.0,10.77,0.25,14.81,61.14,5,Normal,Good,0,0,0
Zone_09,3,Suburban_LowDensity,PERIODIC_SPIKE,3241,92,92.0,0.66,0.007,5.56,68.81,2,Normal,Good,0,0,0
Zone_10,3,Residential,GRADUAL_DETERIORATION,15099,47,47.0,42.7,0.909,58.73,44.93,8,Normal,Good,0,0,0
Zone_11,3,Residential,RECOVERY_AFTER_DISRUPTION,9955,43,43.0,18.48,0.43,19.69,58.85,2,Normal,Good,0,0,0
Zone_12,3,Commercial_Downtown,GRADUAL_IMPROVEMENT,8725,68,56.3,45.5,0.808,50.3,44.98,6,Light Rain,Moderate,0,3,1
Zone_13,3,Suburban_LowDensity,EVENT_SENSITIVE,1361,75,75.0,0.0,0.0,9.22,60.89,3,Normal,Good,0,0,0
Zone_14,3,University_District,RECOVERY_AFTER_DISRUPTION,10551,99,99.0,49.26,0.498,19.29,58.91,2,Normal,Good,0,0,0
Zone_15,3,Residential,GRADUAL_DETERIORATION,14863,86,86.0,50.1,0.583,29.0,59.42,4,Normal,Good,0,0,0
Zone_16,3,Highway_Junction,GRADUAL_DETERIORATION,1963,84,84.0,0.0,0.0,4.02,63.15,2,Normal,Good,0,0,0
Zone_17,3,Residential,EVENT_SENSITIVE,8064,48,48.0,18.96,0.395,23.72,59.03,3,Normal,Good,0,0,0
Zone_18,3,Industrial_Corridor,STABLE,3295,90,90.0,4.32,0.048,5.9,64.82,2,Normal,Good,0,0,0
Zone_19,3,Industrial_Corridor,EVENT_SENSITIVE,4136,81,81.0,23.36,0.288,15.61,65.1,1,Normal,Good,0,0,0
Zone_20,3,Commercial_Downtown,STABLE,3700,73,73.0,26.7,0.366,16.46,60.37,5,Normal,Good,0,0,0
Zone_21,3,Residential,GRADUAL_DETERIORATION,11645,74,74.0,35.0,0.473,22.6,61.61,1,Normal,Good,0,0,0
Zone_22,3,University_District,GRADUAL_DETERIORATION,7570,76,76.0,35.58,0.468,21.8,59.47,1,Normal,Good,0,1,1
Zone_23,3,Suburban_LowDensity,EVENT_SENSITIVE,2228,53,53.0,9.03,0.17,3.98,63.5,2,Normal,Good,0,0,0
Zone_24,3,Commercial_Downtown,GRADUAL_IMPROVEMENT,8634,99,99.0,32.36,0.327,16.58,62.63,4,Normal,Good,0,0,0
Zone_25,3,Residential,STABLE,10790,71,71.0,28.24,0.398,19.51,60.04,3,Normal,Good,0,0,0
Zone_26,3,University_District,STABLE,7678,75,75.0,33.14,0.442,17.36,62.12,3,Normal,Good,0,0,0
Zone_27,3,Suburban_LowDensity,PERIODIC_SPIKE,4357,81,81.0,13.22,0.163,7.74,65.27,1,Normal,Good,0,0,0
Zone_28,3,Highway_Junction,PERIODIC_SPIKE,1845,83,83.0,1.83,0.022,7.04,65.91,4,Normal,Good,0,0,0
Zone_29,3,Residential,RECOVERY_AFTER_DISRUPTION,13450,94,94.0,42.63,0.454,19.67,60.61,4,Normal,Good,0,0,0
Zone_30,3,Highway_Junction,GRADUAL_DETERIORATION,2448,66,66.0,9.63,0.146,8.04,62.65,2,Normal,Good,0,0,0
Zone_31,3,Commercial_Downtown,EVENT_SENSITIVE,9364,45,37.26,49.22,1.321,91.85,21.74,18,Light Rain,Moderate,0,2,1
Zone_32,3,Commercial_Downtown,GRADUAL_IMPROVEMENT,7248,81,81.0,35.84,0.442,18.22,61.24,5,Normal,Good,0,0,0
Zone_33,3,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,6945,63,63.0,36.45,0.579,28.31,56.68,6,Normal,Good,0,1,1
Zone_34,3,Industrial_Corridor,GRADUAL_DETERIORATION,3320,51,51.0,11.1,0.218,8.49,59.74,0,Normal,Good,0,0,0
Zone_35,3,Residential,GRADUAL_IMPROVEMENT,15280,95,95.0,48.21,0.507,28.89,55.71,4,Normal,Good,0,0,0
Zone_36,3,Residential,PERIODIC_SPIKE,12737,62,62.0,36.14,0.583,29.32,57.48,4,Normal,Good,0,0,0
Zone_37,3,Residential,RECOVERY_AFTER_DISRUPTION,11474,92,76.18,31.68,0.416,22.18,51.26,4,Light Rain,Moderate,0,0,0
Zone_38,3,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,9035,94,77.83,49.11,0.631,36.58,45.08,10,Light Rain,Moderate,0,0,0
Zone_39,3,Industrial_Corridor,GRADUAL_DETERIORATION,2566,44,44.0,15.01,0.341,9.52,65.57,2,Normal,Good,0,0,0
Zone_40,3,University_District,PERIODIC_SPIKE,7930,55,55.0,46.37,0.843,51.37,49.35,5,Normal,Good,0,2,1
Zone_41,3,Highway_Junction,GRADUAL_DETERIORATION,2549,42,42.0,13.25,0.315,11.02,64.83,3,Normal,Good,0,0,0
Zone_42,3,University_District,PERIODIC_SPIKE,7369,58,48.02,36.81,0.767,47.26,42.63,6,Light Rain,Moderate,0,0,0
Zone_43,3,Commercial_Downtown,STABLE,3988,78,78.0,14.27,0.183,8.62,62.03,2,Normal,Good,0,0,0
Zone_44,3,Suburban_LowDensity,STABLE,3720,70,70.0,8.77,0.125,6.49,63.94,0,Normal,Good,0,0,0
Zone_45,3,Highway_Junction,GRADUAL_DETERIORATION,2987,87,87.0,18.8,0.216,12.57,63.33,7,Normal,Good,0,0,0
Zone_46,3,University_District,GRADUAL_IMPROVEMENT,8049,51,51.0,40.56,0.795,39.8,49.16,7,Normal,Good,0,1,1
Zone_47,3,University_District,RECOVERY_AFTER_DISRUPTION,8056,58,58.0,35.59,0.614,30.49,56.78,1,Normal,Good,0,1,1
Zone_48,3,Industrial_Corridor,RECOVERY_AFTER_DISRUPTION,3999,72,72.0,8.32,0.116,2.76,63.84,0,Normal,Good,0,0,0
Zone_49,3,University_District,STABLE,11539,59,48.85,60.08,1.23,92.94,20.21,11,Light Rain,Moderate,0,0,0
Zone_50,3,University_District,GRADUAL_DETERIORATION,11592,68,68.0,49.92,0.734,41.8,51.01,3,Normal,Good,0,0,0
Zone_01,4,Commercial_Downtown,RECOVERY_AFTER_DISRUPTION,8726,60,60.0,49.94,0.832,47.02,51.95,9,Normal,Good,0,0,0
Zone_02,4,Residential,STABLE,12426,92,92.0,42.39,0.461,20.37,62.26,1,Normal,Good,0,0,0
Zone_03,4,University_District,EVENT_SENSITIVE,7685,63,63.0,27.88,0.443,19.92,60.93,2,Normal,Good,0,0,0
Zone_04,4,Highway_Junction,GRADUAL_DETERIORATION,2415,72,72.0,7.62,0.106,5.66,64.37,3,Normal,Good,0,0,0
Zone_05,4,Commercial_Downtown,GRADUAL_IMPROVEMENT,8343,66,66.0,38.26,0.58,27.36,56.95,3,Normal,Good,0,0,0
Zone_06,4,University_District,STABLE,8747,86,71.21,31.58,0.443,20.71,50.77,4,Light Rain,Moderate,0,0,0
Zone_07,4,University_District,GRADUAL_DETERIORATION,7267,42,42.0,26.41,0.629,35.28,60.27,1,Normal,Good,0,0,0
Zone_08,4,Highway_Junction,PERIODIC_SPIKE,2040,43,43.0,12.86,0.299,11.75,63.5,4,Normal,Good,0,0,0
Zone_09,4,Suburban_LowDensity,PERIODIC_SPIKE,3241,92,92.0,3.75,0.041,4.07,63.59,2,Normal,Good,0,0,0
